,Stance
0,unrelated
1,unrelated
2,unrelated
3,unrelated
4,unrelated
5,unrelated
6,unrelated
7,unrelated
8,unrelated
9,unrelated
10,unrelated
11,unrelated
12,unrelated
13,unrelated
14,unrelated
15,unrelated
16,unrelated
17,unrelated
18,unrelated
19,unrelated
20,unrelated
21,unrelated
22,unrelated
23,unrelated
24,agree
25,unrelated
26,unrelated
27,unrelated
28,unrelated
29,unrelated
30,unrelated
31,unrelated
32,unrelated
33,unrelated
34,unrelated
35,unrelated
36,discuss
37,unrelated
38,unrelated
39,unrelated
40,unrelated
41,unrelated
42,unrelated
43,unrelated
44,unrelated
45,unrelated
46,unrelated
47,unrelated
48,unrelated
49,unrelated
50,unrelated
51,unrelated
52,unrelated
53,unrelated
54,unrelated
55,unrelated
56,unrelated
57,unrelated
58,unrelated
59,unrelated
60,unrelated
61,unrelated
62,unrelated
63,unrelated
64,unrelated
65,unrelated
66,unrelated
67,unrelated
68,unrelated
69,discuss
70,unrelated
71,unrelated
72,unrelated
73,unrelated
74,unrelated
75,unrelated
76,unrelated
77,unrelated
78,unrelated
79,unrelated
80,unrelated
81,unrelated
82,unrelated
83,unrelated
84,unrelated
85,unrelated
86,unrelated
87,unrelated
88,discuss
89,unrelated
90,unrelated
91,unrelated
92,unrelated
93,discuss
94,unrelated
95,unrelated
96,unrelated
97,unrelated
98,unrelated
99,unrelated
100,unrelated
101,unrelated
102,unrelated
103,unrelated
104,unrelated
105,unrelated
106,unrelated
107,discuss
108,unrelated
109,unrelated
110,unrelated
111,unrelated
112,unrelated
113,unrelated
114,unrelated
115,unrelated
116,unrelated
117,discuss
118,unrelated
119,unrelated
120,unrelated
121,unrelated
122,unrelated
123,unrelated
124,unrelated
125,unrelated
126,unrelated
127,unrelated
128,unrelated
129,unrelated
130,unrelated
131,unrelated
132,unrelated
133,unrelated
134,unrelated
135,unrelated
136,unrelated
137,unrelated
138,unrelated
139,unrelated
140,unrelated
141,unrelated
142,unrelated
143,unrelated
144,unrelated
145,unrelated
146,unrelated
147,unrelated
148,unrelated
149,unrelated
150,unrelated
151,unrelated
152,unrelated
153,unrelated
154,unrelated
155,unrelated
156,unrelated
157,unrelated
158,unrelated
159,unrelated
160,unrelated
161,unrelated
162,unrelated
163,unrelated
164,unrelated
165,unrelated
166,unrelated
167,unrelated
168,unrelated
169,unrelated
170,unrelated
171,unrelated
172,unrelated
173,unrelated
174,unrelated
175,unrelated
176,unrelated
177,unrelated
178,unrelated
179,unrelated
180,unrelated
181,unrelated
182,unrelated
183,unrelated
184,unrelated
185,unrelated
186,unrelated
187,unrelated
188,unrelated
189,unrelated
190,unrelated
191,unrelated
192,unrelated
193,unrelated
194,unrelated
195,unrelated
196,unrelated
197,unrelated
198,unrelated
199,agree
200,unrelated
201,unrelated
202,unrelated
203,unrelated
204,unrelated
205,unrelated
206,unrelated
207,unrelated
208,unrelated
209,unrelated
210,unrelated
211,unrelated
212,unrelated
213,unrelated
214,unrelated
215,unrelated
216,unrelated
217,unrelated
218,unrelated
219,unrelated
220,unrelated
221,unrelated
222,unrelated
223,unrelated
224,unrelated
225,unrelated
226,unrelated
227,unrelated
228,unrelated
229,unrelated
230,unrelated
231,unrelated
232,unrelated
233,unrelated
234,unrelated
235,unrelated
236,unrelated
237,unrelated
238,unrelated
239,unrelated
240,unrelated
241,agree
242,agree
243,unrelated
244,unrelated
245,unrelated
246,unrelated
247,unrelated
248,unrelated
249,unrelated
250,unrelated
251,unrelated
252,unrelated
253,unrelated
254,unrelated
255,unrelated
256,unrelated
257,unrelated
258,unrelated
259,unrelated
260,unrelated
261,unrelated
262,discuss
263,unrelated
264,unrelated
265,unrelated
266,unrelated
267,unrelated
268,unrelated
269,unrelated
270,unrelated
271,unrelated
272,discuss
273,unrelated
274,unrelated
275,unrelated
276,unrelated
277,unrelated
278,unrelated
279,unrelated
280,unrelated
281,unrelated
282,unrelated
283,unrelated
284,unrelated
285,unrelated
286,unrelated
287,unrelated
288,unrelated
289,unrelated
290,unrelated
291,unrelated
292,unrelated
293,unrelated
294,unrelated
295,unrelated
296,discuss
297,unrelated
298,unrelated
299,unrelated
300,unrelated
301,unrelated
302,unrelated
303,unrelated
304,unrelated
305,unrelated
306,unrelated
307,unrelated
308,unrelated
309,unrelated
310,unrelated
311,unrelated
312,unrelated
313,unrelated
314,unrelated
315,unrelated
316,unrelated
317,unrelated
318,unrelated
319,unrelated
320,unrelated
321,unrelated
322,unrelated
323,unrelated
324,unrelated
325,unrelated
326,unrelated
327,unrelated
328,unrelated
329,unrelated
330,unrelated
331,unrelated
332,unrelated
333,unrelated
334,unrelated
335,unrelated
336,unrelated
337,unrelated
338,unrelated
339,unrelated
340,unrelated
341,unrelated
342,unrelated
343,unrelated
344,unrelated
345,unrelated
346,unrelated
347,unrelated
348,unrelated
349,unrelated
350,unrelated
351,unrelated
352,unrelated
353,unrelated
354,unrelated
355,unrelated
356,unrelated
357,unrelated
358,unrelated
359,unrelated
360,unrelated
361,unrelated
362,unrelated
363,agree
364,unrelated
365,unrelated
366,unrelated
367,unrelated
368,unrelated
369,unrelated
370,unrelated
371,unrelated
372,unrelated
373,unrelated
374,unrelated
375,discuss
376,unrelated
377,unrelated
378,unrelated
379,unrelated
380,unrelated
381,unrelated
382,unrelated
383,unrelated
384,unrelated
385,unrelated
386,discuss
387,unrelated
388,unrelated
389,unrelated
390,unrelated
391,unrelated
392,unrelated
393,unrelated
394,unrelated
395,unrelated
396,unrelated
397,unrelated
398,unrelated
399,unrelated
400,unrelated
401,unrelated
402,agree
403,unrelated
404,unrelated
405,unrelated
406,unrelated
407,unrelated
408,unrelated
409,unrelated
410,agree
411,unrelated
412,unrelated
413,unrelated
414,unrelated
415,unrelated
416,unrelated
417,unrelated
418,unrelated
419,unrelated
420,unrelated
421,unrelated
422,unrelated
423,unrelated
424,unrelated
425,unrelated
426,unrelated
427,unrelated
428,unrelated
429,unrelated
430,unrelated
431,unrelated
432,unrelated
433,unrelated
434,unrelated
435,unrelated
436,unrelated
437,unrelated
438,unrelated
439,unrelated
440,unrelated
441,unrelated
442,unrelated
443,unrelated
444,unrelated
445,unrelated
446,unrelated
447,unrelated
448,unrelated
449,unrelated
450,unrelated
451,unrelated
452,unrelated
453,unrelated
454,unrelated
455,agree
456,unrelated
457,unrelated
458,unrelated
459,unrelated
460,unrelated
461,unrelated
462,discuss
463,unrelated
464,unrelated
465,unrelated
466,unrelated
467,unrelated
468,unrelated
469,unrelated
470,unrelated
471,unrelated
472,unrelated
473,unrelated
474,unrelated
475,unrelated
476,unrelated
477,unrelated
478,unrelated
479,unrelated
480,unrelated
481,unrelated
482,unrelated
483,unrelated
484,unrelated
485,unrelated
486,unrelated
487,unrelated
488,unrelated
489,unrelated
490,discuss
491,unrelated
492,unrelated
493,unrelated
494,unrelated
495,unrelated
496,unrelated
497,unrelated
498,unrelated
499,agree
500,agree
501,unrelated
502,unrelated
503,unrelated
504,unrelated
505,agree
506,unrelated
507,unrelated
508,unrelated
509,unrelated
510,unrelated
511,unrelated
512,unrelated
513,unrelated
514,unrelated
515,unrelated
516,unrelated
517,unrelated
518,unrelated
519,unrelated
520,unrelated
521,unrelated
522,unrelated
523,unrelated
524,unrelated
525,unrelated
526,unrelated
527,unrelated
528,unrelated
529,unrelated
530,unrelated
531,unrelated
532,unrelated
533,unrelated
534,unrelated
535,unrelated
536,unrelated
537,unrelated
538,unrelated
539,unrelated
540,unrelated
541,unrelated
542,unrelated
543,unrelated
544,unrelated
545,unrelated
546,unrelated
547,unrelated
548,unrelated
549,unrelated
550,unrelated
551,unrelated
552,unrelated
553,unrelated
554,unrelated
555,unrelated
556,unrelated
557,unrelated
558,unrelated
559,unrelated
560,unrelated
561,unrelated
562,unrelated
563,unrelated
564,unrelated
565,unrelated
566,unrelated
567,unrelated
568,unrelated
569,unrelated
570,unrelated
571,unrelated
572,unrelated
573,unrelated
574,unrelated
575,unrelated
576,unrelated
577,unrelated
578,unrelated
579,unrelated
580,unrelated
581,unrelated
582,unrelated
583,unrelated
584,unrelated
585,unrelated
586,unrelated
587,unrelated
588,unrelated
589,unrelated
590,unrelated
591,unrelated
592,unrelated
593,unrelated
594,unrelated
595,unrelated
596,unrelated
597,unrelated
598,unrelated
599,agree
600,unrelated
601,unrelated
602,unrelated
603,unrelated
604,unrelated
605,unrelated
606,unrelated
607,unrelated
608,unrelated
609,unrelated
610,unrelated
611,unrelated
612,unrelated
613,unrelated
614,agree
615,unrelated
616,unrelated
617,unrelated
618,discuss
619,unrelated
620,unrelated
621,unrelated
622,unrelated
623,unrelated
624,unrelated
625,unrelated
626,unrelated
627,unrelated
628,unrelated
629,unrelated
630,unrelated
631,discuss
632,unrelated
633,unrelated
634,unrelated
635,unrelated
636,unrelated
637,unrelated
638,unrelated
639,unrelated
640,unrelated
641,unrelated
642,unrelated
643,unrelated
644,unrelated
645,unrelated
646,unrelated
647,unrelated
648,unrelated
649,unrelated
650,unrelated
651,unrelated
652,unrelated
653,unrelated
654,unrelated
655,unrelated
656,unrelated
657,unrelated
658,unrelated
659,unrelated
660,unrelated
661,unrelated
662,unrelated
663,unrelated
664,unrelated
665,unrelated
666,unrelated
667,unrelated
668,discuss
669,unrelated
670,unrelated
671,unrelated
672,unrelated
673,unrelated
674,unrelated
675,unrelated
676,unrelated
677,unrelated
678,unrelated
679,discuss
680,unrelated
681,discuss
682,unrelated
683,unrelated
684,unrelated
685,unrelated
686,unrelated
687,unrelated
688,unrelated
689,unrelated
690,unrelated
691,unrelated
692,unrelated
693,unrelated
694,unrelated
695,unrelated
696,unrelated
697,unrelated
698,unrelated
699,unrelated
700,unrelated
701,unrelated
702,unrelated
703,unrelated
704,unrelated
705,unrelated
706,unrelated
707,unrelated
708,unrelated
709,unrelated
710,unrelated
711,unrelated
712,unrelated
713,unrelated
714,unrelated
715,unrelated
716,unrelated
717,unrelated
718,unrelated
719,unrelated
720,unrelated
721,unrelated
722,unrelated
723,unrelated
724,unrelated
725,unrelated
726,unrelated
727,unrelated
728,unrelated
729,unrelated
730,unrelated
731,unrelated
732,unrelated
733,unrelated
734,unrelated
735,unrelated
736,unrelated
737,unrelated
738,unrelated
739,unrelated
740,unrelated
741,unrelated
742,unrelated
743,unrelated
744,unrelated
745,unrelated
746,unrelated
747,unrelated
748,unrelated
749,unrelated
750,unrelated
751,unrelated
752,unrelated
753,unrelated
754,unrelated
755,unrelated
756,discuss
757,unrelated
758,unrelated
759,unrelated
760,unrelated
761,unrelated
762,unrelated
763,unrelated
764,discuss
765,unrelated
766,unrelated
767,unrelated
768,unrelated
769,unrelated
770,unrelated
771,unrelated
772,unrelated
773,unrelated
774,unrelated
775,unrelated
776,unrelated
777,unrelated
778,unrelated
779,unrelated
780,unrelated
781,unrelated
782,unrelated
783,unrelated
784,unrelated
785,unrelated
786,unrelated
787,unrelated
788,unrelated
789,unrelated
790,unrelated
791,unrelated
792,unrelated
793,unrelated
794,unrelated
795,unrelated
796,unrelated
797,unrelated
798,unrelated
799,unrelated
800,unrelated
801,unrelated
802,unrelated
803,unrelated
804,unrelated
805,unrelated
806,unrelated
807,unrelated
808,unrelated
809,unrelated
810,unrelated
811,unrelated
812,unrelated
813,unrelated
814,unrelated
815,unrelated
816,unrelated
817,unrelated
818,unrelated
819,unrelated
820,unrelated
821,unrelated
822,unrelated
823,unrelated
824,unrelated
825,unrelated
826,unrelated
827,unrelated
828,unrelated
829,unrelated
830,unrelated
831,unrelated
832,unrelated
833,unrelated
834,unrelated
835,unrelated
836,unrelated
837,unrelated
838,unrelated
839,unrelated
840,unrelated
841,unrelated
842,unrelated
843,unrelated
844,unrelated
845,unrelated
846,unrelated
847,unrelated
848,unrelated
849,unrelated
850,unrelated
851,unrelated
852,unrelated
853,unrelated
854,unrelated
855,unrelated
856,unrelated
857,unrelated
858,unrelated
859,unrelated
860,unrelated
861,unrelated
862,unrelated
863,unrelated
864,unrelated
865,unrelated
866,unrelated
867,unrelated
868,unrelated
869,unrelated
870,unrelated
871,unrelated
872,unrelated
873,unrelated
874,unrelated
875,unrelated
876,unrelated
877,unrelated
878,unrelated
879,unrelated
880,unrelated
881,unrelated
882,unrelated
883,unrelated
884,unrelated
885,unrelated
886,unrelated
887,unrelated
888,unrelated
889,unrelated
890,unrelated
891,unrelated
892,unrelated
893,unrelated
894,agree
895,unrelated
896,unrelated
897,unrelated
898,unrelated
899,unrelated
900,unrelated
901,unrelated
902,unrelated
903,unrelated
904,unrelated
905,unrelated
906,unrelated
907,unrelated
908,unrelated
909,unrelated
910,unrelated
911,unrelated
912,unrelated
913,unrelated
914,unrelated
915,unrelated
916,unrelated
917,unrelated
918,unrelated
919,unrelated
920,unrelated
921,unrelated
922,unrelated
923,agree
924,unrelated
925,unrelated
926,unrelated
927,unrelated
928,unrelated
929,unrelated
930,unrelated
931,unrelated
932,unrelated
933,unrelated
934,unrelated
935,unrelated
936,unrelated
937,unrelated
938,unrelated
939,unrelated
940,unrelated
941,unrelated
942,unrelated
943,unrelated
944,unrelated
945,unrelated
946,unrelated
947,unrelated
948,unrelated
949,unrelated
950,unrelated
951,unrelated
952,unrelated
953,unrelated
954,unrelated
955,unrelated
956,unrelated
957,unrelated
958,unrelated
959,unrelated
960,unrelated
961,unrelated
962,unrelated
963,unrelated
964,unrelated
965,unrelated
966,unrelated
967,unrelated
968,unrelated
969,unrelated
970,unrelated
971,unrelated
972,unrelated
973,unrelated
974,unrelated
975,unrelated
976,unrelated
977,unrelated
978,unrelated
979,unrelated
980,unrelated
981,unrelated
982,unrelated
983,unrelated
984,unrelated
985,unrelated
986,unrelated
987,unrelated
988,unrelated
989,unrelated
990,unrelated
991,unrelated
992,unrelated
993,unrelated
994,unrelated
995,unrelated
996,unrelated
997,unrelated
998,unrelated
999,unrelated
1000,unrelated
1001,unrelated
1002,unrelated
1003,unrelated
1004,unrelated
1005,unrelated
1006,discuss
1007,unrelated
1008,unrelated
